Date,Stock,Country,ISIN,Description,Currency,Gross_Income
2021-10-29 19:46:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-10-29 19:46:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,"Compra 4 INTERNATIONAL BUSINESS@125,66 USD (US4592001014)",USD,"-502,64"
2021-10-29 10:16:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-29 10:16:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-10-29 08:50:00,,,,flatex Deposit,EUR,"310,00"
2021-10-28 10:47:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 105,2 EUR",,
2021-10-28 10:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"105,20"
2021-10-28 10:11:00,,,,flatex Deposit,EUR,"300,00"
2021-10-27 15:30:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Ingreso Cambio de Divisa,USD,"121,54"
2021-10-27 15:30:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Retirada Cambio de Divisa,EUR,"-104,69"
2021-10-27 15:30:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-10-27 15:30:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,"Compra 1 ADVANCED MICRO DEVICES@121,54 USD (US0079031078)",USD,"-121,54"
2021-10-27 11:17:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-27 11:17:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-10-26 10:17:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-26 10:17:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"0,01"
2021-10-25 10:17:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-25 10:17:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-10-22 10:46:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-22 10:46:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"0,01"
2021-10-21 10:32:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-21 10:32:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-10-20 10:46:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-20 10:46:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"0,01"
2021-10-19 11:16:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,33 EUR",,
2021-10-19 11:16:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,33"
2021-10-18 11:03:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-18 11:03:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-10-16 08:31:00,,,,Ingreso Cambio de Divisa,EUR,"0,33"
2021-10-16 08:31:00,,,,Retirada Cambio de Divisa,USD,"-0,39"
2021-10-15 12:16:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 493,5 EUR",,
2021-10-15 12:16:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"493,50"
2021-10-15 07:08:00,TAIWAN SEMICONDUCTOR M,Taiwan (TWN),US8740391003,Dividendo,USD,"0,49"
2021-10-15 07:08:00,TAIWAN SEMICONDUCTOR M,Taiwan (TWN),US8740391003,RetenciÃ³n del dividendo,USD,"-0,10"
2021-10-14 16:19:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Ingreso Cambio de Divisa,USD,"571,04"
2021-10-14 16:19:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Retirada Cambio de Divisa,EUR,"-492,98"
2021-10-14 16:19:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
2021-10-14 16:19:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-10-14 16:19:00,INTERNATIONAL BUSINESS,United States (USA),US4592001014,"Compra 4 INTERNATIONAL BUSINESS@142,76 USD (US4592001014)",USD,"-571,04"
2021-10-14 12:33:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-14 12:33:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-10-14 08:50:00,,,,flatex Deposit,EUR,"600,00"
2021-10-13 11:33:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-13 11:33:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"0,01"
2021-10-12 10:32:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-10-12 10:32:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-10-11 10:16:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 399,46 EUR",,
2021-10-11 10:16:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"399,46"
2021-10-08 17:16:00,SONY CORPORATION COMMO,Japan (JPN),US8356993076,Ingreso Cambio de Divisa,USD,"214,72"
2021-10-08 17:16:00,SONY CORPORATION COMMO,Japan (JPN),US8356993076,Retirada Cambio de Divisa,EUR,"-185,64"
2021-10-08 17:16:00,SONY CORPORATION COMMO,Japan (JPN),US8356993076,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
2021-10-08 17:16:00,SONY CORPORATION COMMO,Japan (JPN),US8356993076,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-10-08 17:16:00,SONY CORPORATION COMMO,Japan (JPN),US8356993076,"Compra 2 SONY CORPORATION COMMO@107,36 USD (US8356993076)",USD,"-214,72"
2021-10-08 16:39:00,NAGARRO SE,Germany (DEU),DE000A3H2200,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,07"
2021-10-08 16:39:00,NAGARRO SE,Germany (DEU),DE000A3H2200,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-4,00"
2021-10-08 16:39:00,NAGARRO SE,Germany (DEU),DE000A3H2200,Compra 1 Nagarro SE@142 EUR (DE000A3H2200),EUR,"-142,00"
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-7,50"
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,"Compra 1 UMANIS INH. EO -,11@14,9 EUR (FR0013263878)",EUR,"-14,90"
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-7,50"
2021-10-08 13:28:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,"Compra 1 UMANIS INH. EO -,11@14,9 EUR (FR0013263878)",EUR,"-14,90"
2021-10-08 13:27:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
2021-10-08 13:27:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-7,50"
2021-10-08 13:27:00,"UMANIS INH. EO -,11",France (FRA),FR0013263878,"Compra 1 UMANIS INH. EO -,11@14,9 EUR (FR0013263878)",EUR,"-14,90"
